product_id,product_name,supplier_name,category,mean_daily_demand,std_daily_demand,lead_time_days,lead_time_std,safety_stock,reorder_point,reorder_qty_current,po_count,stockout_days,stockout_rate,rop_to_reorder_ratio
1,Shin Ramyun Spicy Noodles,Korean Food Trading Co.,Noodles,3.83,2.11,14,3.0,24,77,200,6,0,0.0,0.38
2,Kimchi 500g,Korean Food Trading Co.,Refrigerated,12.35,2.51,14,3.0,64,236,80,27,203,0.5562,2.95
3,Korean BBQ Sauce,Korean Food Trading Co.,Sauces,8.19,2.11,14,3.0,43,158,100,26,44,0.1205,1.57
4,Sushi Rice 1.5kg,Tokyo Import GmbH,Rice,10.05,2.38,12,2.0,36,157,150,24,0,0.0,1.04
5,Miso Paste 500g,Tokyo Import GmbH,Sauces,9.88,2.41,12,2.0,36,154,160,22,0,0.0,0.96
6,Pocky Chocolate,Tokyo Import GmbH,Snacks,8.42,2.54,12,2.0,32,133,300,9,1,0.0027,0.44
7,Thai Jasmine Rice 2kg,Thai Spice Export Ltd.,Rice,13.53,2.49,18,4.0,91,335,180,21,91,0.2493,1.86
8,Green Curry Paste,Thai Spice Export Ltd.,Sauces,5.79,2.24,18,4.0,42,146,150,14,0,0.0,0.97
9,Coconut Milk 400ml,Thai Spice Export Ltd.,Canned,8.08,2.3,18,4.0,56,202,200,14,0,0.0,1.01
10,Bubble Milk Tea Powder,Taiwan Fresh Foods Co.,Beverage,6.61,2.49,15,3.0,37,136,150,15,0,0.0,0.9
11,Pineapple Cake Box,Taiwan Fresh Foods Co.,Snacks,7.36,2.33,15,3.0,40,150,80,25,93,0.2548,1.87
12,Soy Sauce 600ml,Taiwan Fresh Foods Co.,Sauces,9.15,2.26,15,3.0,48,185,160,21,0,0.0,1.16
13,Chili Oil 250ml,Shanghai Supply,Sauces,4.74,2.11,20,6.0,50,145,120,14,0,0.0,1.2
14,Hot Pot Soup Base,Shanghai Supply,Instant,9.41,2.8,20,6.0,96,284,90,19,184,0.5041,3.15
15,Frozen Dumplings 1kg,Shanghai Supply,Frozen,12.48,2.49,20,6.0,125,375,90,19,233,0.6384,4.16
